,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,22004,949,0020401228,"APR 20, 2005",POR vs. LAL,W,27,5,9,0.556,0,0,0.0,1,1,1.0,1,1,2,1,0,0,1,3,11,-10,0
1,22004,949,0020401216,"APR 19, 2005",POR @ DEN,L,14,4,10,0.4,0,1,0.0,1,1,1.0,1,0,1,1,1,0,1,2,9,6,0
2,22004,949,0020401200,"APR 17, 2005",POR vs. UTA,W,28,8,11,0.727,1,1,1.0,3,4,0.75,1,3,4,3,2,1,0,2,20,7,0
3,22004,949,0020401183,"APR 15, 2005",POR @ GSW,L,41,6,13,0.462,1,4,0.25,4,5,0.8,5,5,10,6,1,0,2,1,17,-9,0
4,22004,949,0020401172,"APR 14, 2005",POR vs. DAL,L,36,9,10,0.9,0,0,0.0,1,1,1.0,2,8,10,3,1,0,2,2,19,-10,0
5,22004,949,0020401157,"APR 12, 2005",POR @ SAS,L,27,5,11,0.455,1,1,1.0,0,1,0.0,3,7,10,3,0,1,0,6,11,1,0
6,22004,949,0020401143,"APR 10, 2005",POR @ NOK,W,41,10,17,0.588,0,2,0.0,5,6,0.833,3,7,10,2,0,0,2,2,25,15,0
7,22004,949,0020401128,"APR 08, 2005",POR vs. SAC,L,38,10,20,0.5,1,2,0.5,2,3,0.667,3,10,13,1,3,0,5,4,23,-15,0
8,22004,949,0020401115,"APR 06, 2005",POR vs. GSW,L,43,9,14,0.643,0,0,0.0,3,3,1.0,1,6,7,6,1,1,4,3,21,-1,0
9,22004,949,0020401102,"APR 05, 2005",POR @ UTA,L,30,2,7,0.286,0,0,0.0,2,3,0.667,2,4,6,2,0,0,5,2,6,-15,0
10,22004,949,0020401083,"APR 02, 2005",POR vs. DEN,L,48,9,23,0.391,0,0,0.0,2,2,1.0,1,7,8,7,0,0,2,4,20,-6,0
11,22004,949,0020401078,"APR 01, 2005",POR @ SEA,L,41,7,14,0.5,0,1,0.0,7,8,0.875,0,6,6,4,1,0,1,3,21,3,0
12,22004,949,0020401062,"MAR 30, 2005",POR vs. HOU,L,29,8,11,0.727,1,1,1.0,4,4,1.0,0,4,4,1,0,0,1,1,21,-16,0
13,22004,949,0020401046,"MAR 28, 2005",POR vs. WAS,L,38,6,13,0.462,0,0,0.0,7,7,1.0,3,5,8,4,1,2,2,4,19,-2,0
14,22004,949,0020401032,"MAR 26, 2005",POR vs. NYK,W,37,5,14,0.357,0,0,0.0,7,8,0.875,4,1,5,3,1,0,2,3,17,7,0
15,22004,949,0020401012,"MAR 24, 2005",POR vs. SEA,L,33,5,13,0.385,0,0,0.0,6,8,0.75,3,2,5,2,2,3,0,3,16,-16,0
16,22004,949,0020400996,"MAR 22, 2005",POR @ SAC,L,39,9,14,0.643,0,0,0.0,9,10,0.9,2,3,5,2,0,0,3,3,27,-18,0
17,22004,949,0020400989,"MAR 21, 2005",POR @ LAC,L,39,7,18,0.389,0,0,0.0,9,9,1.0,5,9,14,2,2,0,0,3,23,-9,0
18,22004,949,0020400975,"MAR 19, 2005",POR vs. ORL,L,41,4,12,0.333,0,0,0.0,5,8,0.625,1,6,7,2,0,0,3,3,13,-3,0
19,22004,949,0020400955,"MAR 17, 2005",POR @ DAL,L,46,6,18,0.333,0,1,0.0,8,9,0.889,2,3,5,4,1,1,5,3,20,-3,0
20,22004,949,0020400950,"MAR 16, 2005",POR @ HOU,L,32,5,12,0.417,0,0,0.0,10,10,1.0,0,4,4,4,1,0,2,6,20,-27,0
21,22004,949,0020400934,"MAR 14, 2005",POR @ MEM,L,37,6,14,0.429,0,1,0.0,2,2,1.0,2,6,8,4,1,0,2,2,14,-17,0
22,22004,949,0020400919,"MAR 12, 2005",POR vs. MEM,W,38,9,19,0.474,1,2,0.5,6,8,0.75,3,7,10,1,1,1,5,3,25,8,0
23,22004,949,0020400901,"MAR 09, 2005",POR vs. CHI,L,35,8,14,0.571,0,0,0.0,6,7,0.857,3,7,10,2,0,1,3,3,22,-12,0
24,22004,949,0020400884,"MAR 07, 2005",POR @ DEN,L,34,7,12,0.583,0,1,0.0,1,1,1.0,1,4,5,5,0,0,3,2,15,-15,0
25,22004,949,0020400871,"MAR 05, 2005",POR @ PHO,L,35,11,16,0.688,1,2,0.5,2,2,1.0,1,12,13,1,0,0,0,2,25,-8,0
26,22004,949,0020400863,"MAR 04, 2005",POR vs. IND,L,43,11,18,0.611,1,1,1.0,4,4,1.0,0,5,5,2,1,0,2,4,27,-5,0
27,22004,949,0020400840,"MAR 01, 2005",POR vs. DET,L,17,3,8,0.375,0,0,0.0,1,1,1.0,1,2,3,2,0,0,1,0,7,6,0
28,22004,949,0020400827,"FEB 27, 2005",POR vs. MIN,L,23,2,6,0.333,0,0,0.0,6,6,1.0,0,2,2,1,0,1,0,2,10,-5,0
29,22004,949,0020400810,"FEB 25, 2005",POR vs. ATL,W,21,4,9,0.444,0,0,0.0,1,2,0.5,1,1,2,0,0,0,1,3,9,-1,0
30,22004,949,0020400799,"FEB 23, 2005",POR vs. LAL,L,27,5,10,0.5,0,2,0.0,6,9,0.667,3,3,6,1,0,0,2,2,16,1,0
31,22004,949,0020400435,"JAN 02, 2005",POR @ PHO,L,35,6,11,0.545,0,0,0.0,2,5,0.4,4,6,10,0,1,0,5,6,14,-19,0
32,22004,949,0020400431,"JAN 01, 2005",POR vs. GSW,W,46,10,14,0.714,0,0,0.0,6,7,0.857,2,7,9,2,2,1,1,3,26,9,0
33,22004,949,0020400420,"DEC 30, 2004",POR vs. SAS,L,31,5,15,0.333,0,0,0.0,4,4,1.0,5,5,10,1,0,0,2,4,14,-22,0
34,22004,949,0020400312,"DEC 14, 2004",POR @ MIN,L,35,7,11,0.636,0,0,0.0,1,2,0.5,2,3,5,3,2,3,3,1,15,-20,0
35,22004,949,0020400299,"DEC 12, 2004",POR vs. UTA,W,35,4,9,0.444,1,3,0.333,4,4,1.0,2,2,4,3,2,1,2,3,13,9,0
36,22004,949,0020400285,"DEC 10, 2004",POR @ UTA,L,47,7,9,0.778,0,0,0.0,5,7,0.714,2,5,7,2,2,0,4,2,19,-6,0
37,22004,949,0020400275,"DEC 09, 2004",POR vs. BOS,W,39,6,16,0.375,1,2,0.5,2,2,1.0,8,6,14,1,2,0,4,2,15,3,0
38,22004,949,0020400247,"DEC 05, 2004",POR vs. PHO,L,35,7,11,0.636,0,0,0.0,1,1,1.0,3,8,11,3,3,1,5,4,15,-5,0
