SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
21976,76002,0027600454,"JAN 19, 1977",BUF @ WAS,L,18,2,8.0,,,,,0,0,0.0,,,9.0,0.0,,,,1.0,4,,0
21976,76002,0027600432,"JAN 15, 1977",BUF @ DET,L,13,1,2.0,,,,,3,3,1.0,,,3.0,1.0,,,,0.0,5,,0
21976,76002,0027600424,"JAN 14, 1977",BUF vs. NOJ,W,15,2,7.0,,,,,5,6,0.833,,,10.0,2.0,,,,2.0,9,,0
21976,76002,0027600411,"JAN 12, 1977",BUF vs. ATL,L,8,1,2.0,,,,,3,3,1.0,,,6.0,0.0,,,,4.0,5,,0
21976,76002,0027600384,"JAN 06, 1977",BUF @ MIL,L,15,4,4.0,,,,,2,2,1.0,,,5.0,1.0,1.0,0.0,,2.0,10,,0
21976,76002,0027600378,"JAN 05, 1977",BUF vs. GOS,L,6,0,2.0,,,,,0,0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,,0.0,0,,0
21976,76002,0027600370,"JAN 03, 1977",BUF @ SAN,L,16,3,7.0,,,,,1,2,0.5,,,5.0,1.0,1.0,1.0,,2.0,7,,0
21976,76002,0027600360,"JAN 01, 1977",BUF vs. NYN,W,7,0,1.0,,,,,3,4,0.75,,,5.0,0.0,,,,1.0,3,,0
21976,76002,0027600349,"DEC 29, 1976",BUF vs. KCK,L,6,0,1.0,,,,,2,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,2,,0
21976,76002,0027603012,"DEC 26, 1976",BUF @ CLE,W,4,0,1.0,,,,,2,2,1.0,1.0,1.0,2.0,0.0,0.0,0.0,,2.0,2,,0
21976,76002,0027600327,"DEC 25, 1976",BUF vs. DET,W,0,0,,,,,,0,0,0.0,,,,,,,,,0,,0
21976,76002,0027600326,"DEC 23, 1976",BUF @ PHX,L,7,1,3.0,,,,,1,2,0.5,1.0,3.0,4.0,0.0,0.0,2.0,,0.0,3,,0
21976,76002,0027600317,"DEC 21, 1976",BUF @ LAL,L,8,0,1.0,,,,,0,0,0.0,,,2.0,1.0,,,,1.0,0,,0
21976,76002,0027600307,"DEC 19, 1976",BUF @ SEA,W,11,3,4.0,,,,,4,5,0.8,,,3.0,0.0,,,,1.0,10,,0
21976,76002,0027600296,"DEC 17, 1976",BUF vs. WAS,L,3,0,1.0,,,,,0,0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0,,0
21976,76002,0027600275,"DEC 14, 1976",BUF vs. PHX,W,9,0,3.0,,,,,0,0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,,1.0,0,,0
21976,76002,0027600264,"DEC 11, 1976",BUF @ IND,L,21,5,12.0,,,,,6,10,0.6,,,15.0,0.0,,1.0,,2.0,16,,0
21976,76002,0027600256,"DEC 10, 1976",BUF vs. POR,L,7,2,3.0,,,,,0,0,0.0,3.0,1.0,4.0,0.0,0.0,0.0,,0.0,4,,0
21976,76002,0027600244,"DEC 08, 1976",BUF @ PHL,L,10,1,4.0,,,,,1,2,0.5,,,5.0,0.0,,,,1.0,3,,0
21976,76002,0027600220,"DEC 03, 1976",BUF vs. NYK,W,1,0,1.0,,,,,0,0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0,,0
21976,76002,0027600194,"NOV 28, 1976",BUF @ NOJ,L,3,0,2.0,,,,,0,0,0.0,,,1.0,1.0,,,,0.0,0,,0
21976,76002,0027600192,"NOV 27, 1976",BUF @ ATL,L,0,0,,,,,,0,0,0.0,,,,,,,,,0,,0
21976,76003,0027600869,"APR 10, 1977",LAL @ SEA,W,28,11,15.0,,,,,8,11,0.727,,,11.0,3.0,,3.0,,4.0,30,,0
21976,76003,0027600859,"APR 09, 1977",LAL @ POR,L,23,2,9.0,,,,,4,4,1.0,1.0,6.0,7.0,1.0,0.0,0.0,,1.0,8,,0
21976,76003,0027600858,"APR 08, 1977",LAL vs. NYN,W,26,4,8.0,,,,,2,2,1.0,,,9.0,1.0,,5.0,,1.0,10,,0
21976,76003,0027600838,"APR 05, 1977",LAL @ GOS,L,30,10,20.0,,,,,8,8,1.0,0.0,5.0,5.0,2.0,2.0,3.0,,4.0,28,,0
21976,76003,0027600829,"APR 03, 1977",LAL vs. DET,W,43,14,21.0,,,,,5,8,0.625,,,15.0,5.0,,,,3.0,33,,0
21976,76003,0027600817,"APR 01, 1977",LAL vs. SAN,W,30,11,15.0,,,,,1,2,0.5,,,10.0,5.0,2.0,4.0,,0.0,23,,0
21976,76003,0027600800,"MAR 29, 1977",LAL vs. SEA,W,40,10,19.0,,,,,9,16,0.563,,,16.0,2.0,,3.0,,5.0,29,,0
21976,76003,0027600793,"MAR 27, 1977",LAL vs. BUF,W,35,6,13.0,,,,,3,7,0.429,,,7.0,7.0,,,,1.0,15,,0
21976,76003,0027600782,"MAR 26, 1977",LAL @ PHX,W,38,12,16.0,,,,,2,2,1.0,,,8.0,2.0,,,,4.0,26,,0
21976,76003,0027600779,"MAR 25, 1977",LAL vs. PHX,W,26,13,18.0,,,,,2,7,0.286,3.0,9.0,12.0,1.0,1.0,9.0,,3.0,28,,0
21976,76003,0027600764,"MAR 23, 1977",LAL @ IND,W,33,12,18.0,,,,,2,3,0.667,,,13.0,8.0,,4.0,,5.0,26,,0
21976,76003,0027600759,"MAR 22, 1977",LAL @ CHI,L,28,9,14.0,,,,,0,1,0.0,,,11.0,4.0,,,,4.0,18,,0
21976,76003,0027600753,"MAR 20, 1977",LAL vs. NOJ,W,36,12,23.0,,,,,5,6,0.833,,,17.0,4.0,,7.0,,0.0,29,,0
21976,76003,0027600742,"MAR 18, 1977",LAL vs. GOS,W,37,11,23.0,,,,,2,3,0.667,3.0,11.0,14.0,3.0,0.0,2.0,,4.0,24,,0
21976,76003,0027600724,"MAR 15, 1977",LAL @ DEN,L,39,10,20.0,,,,,1,2,0.5,2.0,7.0,9.0,4.0,0.0,1.0,,4.0,21,,0
21976,76003,0027600718,"MAR 14, 1977",LAL @ MIL,L,41,9,21.0,,,,,7,8,0.875,,,11.0,9.0,1.0,4.0,,2.0,25,,0
21976,76003,0027600717,"MAR 13, 1977",LAL @ NYN,W,38,8,17.0,,,,,7,11,0.636,,,12.0,3.0,,7.0,,3.0,23,,0
21976,76003,0027600704,"MAR 11, 1977",LAL vs. WAS,W,42,13,27.0,,,,,5,9,0.556,,,20.0,6.0,,3.0,,4.0,31,,0
21976,76003,0027600683,"MAR 06, 1977",LAL vs. CLE,W,31,7,14.0,,,,,6,9,0.667,,,10.0,3.0,,,,6.0,20,,0
21976,76003,0027600667,"MAR 04, 1977",LAL vs. CHI,L,31,9,18.0,,,,,0,4,0.0,,,9.0,1.0,,,,4.0,18,,0
21976,76003,0027600658,"MAR 02, 1977",LAL @ HOU,L,38,7,17.0,,,,,9,12,0.75,,,8.0,5.0,1.0,1.0,,2.0,23,,0
21976,76003,0027600654,"MAR 01, 1977",LAL @ ATL,W,40,10,15.0,,,,,4,7,0.571,,,16.0,4.0,,6.0,,4.0,24,,0
21976,76003,0027600644,"FEB 27, 1977",LAL vs. HOU,W,41,11,15.0,,,,,7,11,0.636,,,11.0,4.0,,8.0,,3.0,29,,0
21976,76003,0027600633,"FEB 25, 1977",LAL vs. PHL,W,43,15,26.0,,,,,9,10,0.9,,,17.0,5.0,,4.0,,1.0,39,,0
21976,76003,0027600622,"FEB 23, 1977",LAL @ DET,L,39,6,13.0,,,,,2,2,1.0,,,14.0,2.0,,,,3.0,14,,0
21976,76003,0027600619,"FEB 22, 1977",LAL @ SAN,L,29,13,17.0,,,,,3,6,0.5,,,15.0,6.0,1.0,1.0,,3.0,29,,0
21976,76003,0027600612,"FEB 20, 1977",LAL @ WAS,W,39,14,23.0,,,,,7,8,0.875,,,6.0,4.0,,3.0,,3.0,35,,0
21976,76003,0027600596,"FEB 18, 1977",LAL vs. ATL,L,40,10,19.0,,,,,6,8,0.75,,,13.0,5.0,,,,1.0,26,,0
21976,76003,0027600568,"FEB 11, 1977",LAL vs. DEN,W,34,11,17.0,,,,,7,8,0.875,3.0,5.0,8.0,7.0,1.0,3.0,,5.0,29,,0
21976,76003,0027600562,"FEB 09, 1977",LAL @ BUF,W,36,13,21.0,,,,,4,4,1.0,,,12.0,6.0,,5.0,,5.0,30,,0
21976,76003,0027600550,"FEB 08, 1977",LAL @ NYK,L,32,7,16.0,,,,,8,13,0.615,,,6.0,2.0,,,,3.0,22,,0
21976,76003,0027600545,"FEB 06, 1977",LAL @ PHL,L,41,10,19.0,,,,,6,8,0.75,,,16.0,5.0,,,,1.0,26,,0
21976,76003,0027600536,"FEB 04, 1977",LAL @ BOS,L,40,13,28.0,,,,,7,10,0.7,,,14.0,3.0,,,,2.0,33,,0
21976,76003,0027600514,"FEB 01, 1977",LAL vs. MIL,W,36,15,25.0,,,,,4,8,0.5,,,14.0,4.0,,2.0,,3.0,34,,0
21976,76003,0027600509,"JAN 30, 1977",LAL vs. NOJ,W,37,12,20.0,,,,,3,7,0.429,,,12.0,6.0,,3.0,,2.0,27,,0
21976,76003,0027600496,"JAN 28, 1977",LAL vs. PHL,W,39,16,27.0,,,,,7,13,0.538,,,9.0,7.0,,,,4.0,39,,0
21976,76003,0027600485,"JAN 26, 1977",LAL @ SEA,L,33,5,8.0,,,,,4,4,1.0,,,13.0,1.0,,,,6.0,14,,0
21976,76003,0027600480,"JAN 25, 1977",LAL vs. SEA,W,35,10,13.0,,,,,2,2,1.0,,,10.0,1.0,3.0,2.0,,2.0,22,,0
21976,76003,0027600473,"JAN 23, 1977",LAL vs. IND,W,30,10,16.0,,,,,5,6,0.833,,,14.0,3.0,,3.0,,4.0,25,,0
21976,76003,0027600460,"JAN 21, 1977",LAL vs. NYK,W,39,13,24.0,,,,,9,10,0.9,,,24.0,1.0,,,,2.0,35,,0
21976,76003,0027600443,"JAN 18, 1977",LAL @ KCK,W,34,15,24.0,,,,,6,7,0.857,,,12.0,4.0,1.0,2.0,,4.0,36,,0
21976,76003,0027600430,"JAN 15, 1977",LAL @ HOU,L,35,11,17.0,,,,,6,6,1.0,,,11.0,5.0,0.0,3.0,,4.0,28,,0
21976,76003,0027600422,"JAN 14, 1977",LAL @ SAN,W,40,7,13.0,,,,,4,6,0.667,,,16.0,7.0,1.0,7.0,,5.0,18,,0
21976,76003,0027600408,"JAN 11, 1977",LAL @ CLE,W,46,16,27.0,,,,,8,12,0.667,1.0,11.0,12.0,3.0,0.0,3.0,,2.0,40,,0
21976,76003,0027600415,"JAN 09, 1977",LAL @ DET,W,42,10,18.0,,,,,8,8,1.0,,,13.0,5.0,,5.0,,5.0,28,,0
21976,76003,0027600393,"JAN 07, 1977",LAL @ NYN,W,43,6,8.0,,,,,7,10,0.7,,,14.0,4.0,,6.0,,4.0,19,,0
21976,76003,0027600381,"JAN 05, 1977",LAL @ PHL,L,31,12,21.0,,,,,4,5,0.8,,,14.0,2.0,,,,1.0,28,,0
