,Year,retroid,Pitch_G%
0,1961,andeb102,0.6327160493827161
1,1961,antoj103,0.5291005291005292
2,1961,archj101,0.7709190672153634
3,1961,arrig101,0.16666666666666666
4,1961,barbs102,0.7995642701525055
5,1961,bassn101,0.7133655394524958
6,1961,baumf102,0.6280193236714975
7,1961,bellg102,0.7461873638344227
8,1961,bolib101,0.4444444444444444
9,1961,boulc101,0.14814814814814814
10,1961,bowst101,0.6860670194003528
11,1961,brewj102,0.521885521885522
12,1961,brewt101,0.5694444444444444
13,1961,broge101,0.7321937321937324
14,1961,browh101,0.7455716586151367
15,1961,browp101,0.4444444444444444
16,1961,brucb101,0.5864197530864198
17,1961,buhlb101,0.720899470899471
18,1961,bunnj101,0.7997997997997999
19,1961,burdl101,0.8045267489711936
20,1961,burnp102,0.6203703703703703
21,1961,buzhj101,0.7009602194787381
22,1961,cardd101,0.7563352826510722
23,1961,casaj101,0.48611111111111116
24,1961,chand102,0.4537037037037037
25,1961,chent101,0.35449735449735453
26,1961,cicoa101,0.5132275132275133
27,1961,ciscg101,0.4907407407407407
28,1961,clont101,0.7
29,1961,coatj101,0.7104377104377103
30,1961,conlg101,0.7222222222222221
31,1961,crair101,0.507936507936508
32,1961,cuetd101,0.4518518518518519
33,1961,curtj102,0.7133058984910838
34,1961,daleb102,0.7133058984910837
35,1961,danib102,0.8082010582010583
36,1961,deloi101,0.6190476190476192
37,1961,ditma101,0.5527065527065527
38,1961,donoj103,0.6084656084656085
39,1961,donod101,0.8417508417508418
40,1961,downa101,0.1111111111111111
41,1961,drotd101,0.5555555555555556
42,1961,drysd101,0.7167167167167167
43,1961,duffj102,0.7592592592592592
44,1961,durer101,0.5264550264550264
45,1961,ellsd101,0.6320191158900836
46,1961,estrc101,0.7479091995221027
47,1961,ferrd102,0.671957671957672
48,1961,fiscb101,0.48148148148148145
49,1961,fishe102,0.0
50,1961,fishj101,0.76
51,1961,fordw101,0.8062678062678065
52,1961,fornm101,0.7777777777777778
53,1961,fossl101,0.5679012345679013
54,1961,fowla101,0.6172839506172839
55,1961,foytp101,0.7370370370370372
56,1961,frane101,0.6271604938271605
57,1961,frieb102,0.7026455026455027
58,1961,gablg102,0.6296296296296295
59,1961,garvn102,0.42592592592592593
60,1961,gibbj102,0.7445721583652619
61,1961,gibsb101,0.7997256515775035
62,1961,granj101,0.7767195767195768
63,1961,grbae101,0.7061728395061729
64,1961,greed101,0.6148148148148149
65,1961,haddh101,0.702020202020202
66,1961,halld101,0.6837606837606838
67,1961,hawkw101,0.6102292768959436
68,1961,hendb101,0.7150997150997151
69,1961,herbr101,0.7581018518518519
70,1961,hilld102,0.8518518518518519
71,1961,hobae101,0.6748971193415638
72,1961,hobbg101,0.7241379310344828
73,1961,hoefb101,0.8047138047138046
74,1961,hookj101,0.4296296296296296
75,1961,horlj101,0.3796296296296296
76,1961,huntk101,0.6313131313131314
77,1961,jacka101,1.0
78,1961,jackl102,0.8174603174603174
79,1961,jamej101,0.345679012345679
80,1961,jay-j101,0.8082788671023966
81,1961,johnk102,0.7191358024691358
82,1961,jones105,0.5816993464052287
83,1961,jones102,0.6666666666666667
84,1961,kaatj101,0.7177522349936144
85,1961,kemmr101,0.4814814814814815
86,1961,kirkb101,0.3333333333333333
87,1961,klinr102,0.7153996101364521
88,1961,klipj101,0.2592592592592593
89,1961,koplh101,0.5555555555555556
90,1961,koufs101,0.7767195767195768
91,1961,kralj101,0.8148148148148149
92,1961,kraul102,0.6342592592592593
93,1961,kunkb101,0.18518518518518517
