"Team","Age","W","L","ERA","G","GS","CG","ShO","SV","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","GB","FB","LD","IFFB","Balls","Strikes","Pitches","RS","IFH","BU","BUH","K/9","BB/9","K/BB","H/9","HR/9","AVG","WHIP","BABIP","LOB%","FIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","Starting","Start-IP","Relieving","Relief-IP","RAR","WAR","Dollars","tERA","xFIP","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","WPA/LI","Clutch","FB%","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","KN%","KNv","XX%","PO%","wFB","wSL","wCT","wCB","wCH","wSF","wKN","wFB/C","wSL/C","wCT/C","wCB/C","wCH/C","wSF/C","wKN/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","HLD","SD","MD","ERA-","FIP-","xFIP-","K%","BB%","SIERA","RS/9","E-F","FA% (pfx)","FT% (pfx)","FC% (pfx)","FS% (pfx)","FO% (pfx)","SI% (pfx)","SL% (pfx)","CU% (pfx)","KC% (pfx)","EP% (pfx)","CH% (pfx)","SC% (pfx)","KN% (pfx)","UN% (pfx)","vFA (pfx)","vFT (pfx)","vFC (pfx)","vFS (pfx)","vFO (pfx)","vSI (pfx)","vSL (pfx)","vCU (pfx)","vKC (pfx)","vEP (pfx)","vCH (pfx)","vSC (pfx)","vKN (pfx)","FA-X (pfx)","FT-X (pfx)","FC-X (pfx)","FS-X (pfx)","FO-X (pfx)","SI-X (pfx)","SL-X (pfx)","CU-X (pfx)","KC-X (pfx)","EP-X (pfx)","CH-X (pfx)","SC-X (pfx)","KN-X (pfx)","FA-Z (pfx)","FT-Z (pfx)","FC-Z (pfx)","FS-Z (pfx)","FO-Z (pfx)","SI-Z (pfx)","SL-Z (pfx)","CU-Z (pfx)","KC-Z (pfx)","EP-Z (pfx)","CH-Z (pfx)","SC-Z (pfx)","KN-Z (pfx)","wFA (pfx)","wFT (pfx)","wFC (pfx)","wFS (pfx)","wFO (pfx)","wSI (pfx)","wSL (pfx)","wCU (pfx)","wKC (pfx)","wEP (pfx)","wCH (pfx)","wSC (pfx)","wKN (pfx)","wFA/C (pfx)","wFT/C (pfx)","wFC/C (pfx)","wFS/C (pfx)","wFO/C (pfx)","wSI/C (pfx)","wSL/C (pfx)","wCU/C (pfx)","wKC/C (pfx)","wEP/C (pfx)","wCH/C (pfx)","wSC/C (pfx)","wKN/C (pfx)","O-Swing% (pfx)","Z-Swing% (pfx)","Swing% (pfx)","O-Contact% (pfx)","Z-Contact% (pfx)","Contact% (pfx)","Zone% (pfx)","Pace","RA9-WAR","BIP-Wins","LOB-Wins","FDP-Wins","Age Rng","K-BB%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","kwERA","TTO%","CH% (pi)","CS% (pi)","CU% (pi)","FA% (pi)","FC% (pi)","FS% (pi)","KN% (pi)","SB% (pi)","SI% (pi)","SL% (pi)","XX% (pi)","vCH (pi)","vCS (pi)","vCU (pi)","vFA (pi)","vFC (pi)","vFS (pi)","vKN (pi)","vSB (pi)","vSI (pi)","vSL (pi)","vXX (pi)","CH-X (pi)","CS-X (pi)","CU-X (pi)","FA-X (pi)","FC-X (pi)","FS-X (pi)","KN-X (pi)","SB-X (pi)","SI-X (pi)","SL-X (pi)","XX-X (pi)","CH-Z (pi)","CS-Z (pi)","CU-Z (pi)","FA-Z (pi)","FC-Z (pi)","FS-Z (pi)","KN-Z (pi)","SB-Z (pi)","SI-Z (pi)","SL-Z (pi)","XX-Z (pi)","wCH (pi)","wCS (pi)","wCU (pi)","wFA (pi)","wFC (pi)","wFS (pi)","wKN (pi)","wSB (pi)","wSI (pi)","wSL (pi)","wXX (pi)","wCH/C (pi)","wCS/C (pi)","wCU/C (pi)","wFA/C (pi)","wFC/C (pi)","wFS/C (pi)","wKN/C (pi)","wSB/C (pi)","wSI/C (pi)","wSL/C (pi)","wXX/C (pi)","O-Swing% (pi)","Z-Swing% (pi)","Swing% (pi)","O-Contact% (pi)","Z-Contact% (pi)","Contact% (pi)","Zone% (pi)","Pace (pi)","FRM","K/9+","BB/9+","K/BB+","H/9+","HR/9+","AVG+","WHIP+","BABIP+","LOB%+","K%+","BB%+","LD%+","GB%+","FB%+","HR/FB%+","Pull%+","Cent%+","Oppo%+","Soft%+","Med%+","Hard%+","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","Events"
"Giants","30","30","23","3.16","433","0","0","0","44","","512.1","2173","465","200","180","45","196","44","15","22","1","431","","","","","","","","","","","","7.57","3.44","2.20","8.17","0.79",".237","1.29",".283","77.7%","3.83","","","","","","","","","","","50.3","507.9","50.3","5.1","","","","4.67","-41.63","46.30","51.69","4.95","1.22","1.25","1.38","1.47","276","3.89","-0.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","130","70","78","90","","19.8%","9.0%","","","-0.67","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.3","0.8","2.3","3.2","24 - 42","10.8%","","","","","","","4.12","30.9%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","111","102","110","91","79","92","94","96","108","113","103","","","","","","","","","","","","","","","","","","0"
"Astros","28","26","21","3.32","339","0","0","0","44","","412.0","1741","347","162","152","34","177","18","14","22","1","362","","","","","","","","","","","","7.91","3.87","2.05","7.58","0.74",".224","1.27",".271","76.7%","3.85","","","","","","","","","","","27.5","409.9","27.5","2.8","","","","3.49","-34.01","37.50","55.84","5.52","1.21","1.26","1.35","1.54","189","3.74","-0.85","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101","62","83","95","","20.8%","10.2%","","","-0.53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.1","1.8","1.5","3.3","22 - 34","10.6%","","","","","","","4.14","32.9%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","116","114","102","84","74","87","92","92","107","119","116","","","","","","","","","","","","","","","","","","0"
"Pirates","27","16","25","3.36","395","0","0","0","41","","458.1","1990","406","213","171","35","223","32","15","18","1","420","","","","","","","","","","","","8.25","4.38","1.88","7.97","0.69",".232","1.37",".286","72.4%","3.86","","","","","","","","","","","41.0","456.0","41.0","4.2","","","","-0.35","-34.33","33.97","14.97","1.78","1.03","1.07","1.14","1.22","239","1.40","-1.74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87","57","79","90","","21.1%","11.2%","","","-0.50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.2","0.3","-0.2","0.1","21 - 34","9.9%","","","","","","","4.23","34.1%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","121","129","94","88","69","90","100","97","101","120","128","","","","","","","","","","","","","","","","","","0"
"Padres","29","31","19","3.46","369","0","0","0","59","","421.0","1770","361","175","162","43","174","19","11","27","4","389","","","","","","","","","","","","8.32","3.72","2.24","7.72","0.92",".228","1.27",".276","76.4%","3.94","","","","","","","","","","","35.3","416.8","35.3","3.6","","","","6.95","-30.41","37.36","24.86","2.85","1.19","1.30","1.42","1.59","221","2.76","3.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","114","57","87","94","","22.0%","9.8%","","","-0.47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.1","1.4","1.1","2.5","23 - 37","12.2%","","","","","","","3.96","34.2%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","122","110","109","86","92","89","92","94","107","125","113","","","","","","","","","","","","","","","","","","0"
"Rockies","28","25","16","3.65","406","0","0","0","36","","449.1","1907","452","198","182","37","174","10","12","18","3","311","","","","","","","","","","","","6.23","3.49","1.79","9.05","0.74",".263","1.39",".302","75.1%","4.07","","","","","","","","","","","49.7","447.0","49.7","5.0","","","","5.70","-30.39","36.09","72.91","5.43","0.97","1.08","1.18","1.20","253","5.63","0.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","118","62","70","85","","16.3%","9.1%","","","-0.42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.8","-1.3","5.0","3.8","22 - 32","7.2%","","","","","","","4.55","27.4%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92","103","89","100","74","102","101","103","105","93","105","","","","","","","","","","","","","","","","","","0"
"Yankees","28","28","9","3.76","334","0","0","0","48","","395.1","1679","376","173","165","37","135","20","23","9","1","259","","","","","","","","","","","","5.90","3.07","1.92","8.56","0.84",".247","1.29",".277","74.9%","4.24","","","","","","","","","","","28.2","392.3","28.2","2.8","","","","7.34","-26.04","33.38","43.52","4.21","1.09","1.16","1.27","1.35","194","3.84","2.91","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96","50","83","94","","15.4%","8.0%","","","-0.49","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.3","1.7","1.9","3.5","22 - 33","7.4%","","","","","","","4.53","25.7%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92","90","100","91","76","93","90","93","107","95","92","","","","","","","","","","","","","","","","","","0"
"Braves","28","16","16","3.83","354","0","0","0","45","","364.0","1563","311","175","155","33","174","14","12","29","0","344","","","","","","","","","","","","8.51","4.30","1.98","7.69","0.82",".226","1.33",".278","71.4%","3.96","","","","","","","","","","","24.8","361.2","24.8","2.5","","","","2.08","-26.61","28.69","12.60","1.25","1.06","1.14","1.24","1.30","216","2.10","-0.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","102","47","91","93","","22.0%","11.1%","","","-0.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.2","0.9","-1.2","-0.3","21 - 43","10.9%","","","","","","","4.11","35.3%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","125","127","98","85","82","88","97","95","100","126","128","","","","","","","","","","","","","","","","","","0"
"Devil Rays","27","24","20","3.84","410","0","0","0","28","","502.0","2146","457","232","214","48","224","23","26","20","1","380","","","","","","","","","","","","6.81","4.02","1.70","8.19","0.86",".241","1.36",".279","74.2%","4.36","","","","","","","","","","","30.9","497.8","30.9","3.0","","","","-0.68","-36.25","35.57","29.61","2.99","0.99","0.96","1.06","1.07","255","2.73","-3.41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87","71","82","95","","17.7%","10.4%","","","-0.53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.6","1.8","1.8","3.6","23 - 33","7.3%","","","","","","","4.54","30.4%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","107","115","91","86","78","91","94","93","106","109","119","","","","","","","","","","","","","","","","","","0"
"Mets","30","26","26","3.85","399","0","0","0","46","","435.1","1906","431","201","186","42","198","38","25","12","2","370","","","","","","","","","","","","7.65","4.09","1.87","8.91","0.87",".256","1.44",".306","76.1%","4.23","","","","","","","","","","","15.7","433.0","15.7","1.6","","","","-1.48","-43.28","41.80","-4.04","-0.74","1.29","1.30","1.34","1.42","246","-0.50","-0.66","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","112","77","95","101","","19.4%","10.4%","","","-0.38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.2","-1.9","3.5","1.6","24 - 37","9.0%","","","","","","","4.33","32.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","113","121","92","99","87","100","105","104","106","111","119","","","","","","","","","","","","","","","","","","0"
"Red Sox","29","28","20","3.86","432","0","0","0","53","","498.1","2148","472","238","214","43","204","27","15","28","1","350","","","","","","","","","","","","6.32","3.68","1.72","8.52","0.78",".245","1.36",".279","71.8%","4.17","","","","","","","","","","","42.8","496.0","42.8","4.2","","","","4.06","-37.45","41.51","43.27","4.06","1.07","1.12","1.26","1.35","275","3.65","0.14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","121","82","81","94","","16.3%","9.5%","","","-0.31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.2","1.7","1.3","3.0","22 - 43","6.8%","","","","","","","4.60","27.8%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99","107","92","90","70","92","95","94","103","100","109","","","","","","","","","","","","","","","","","","0"
