SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
21980,76003,0028000933,"MAR 29, 1981",LAL vs. DEN,L,21,5,9.0,,0.0,0.0,,0,0,0.0,0.0,4.0,4.0,6.0,0.0,0.0,0.0,2.0,10,,0
21980,76003,0028000930,"MAR 28, 1981",LAL @ UTH,L,34,9,14.0,,0.0,0.0,,3,7,0.429,1.0,6.0,7.0,2.0,1.0,2.0,4.0,6.0,21,,0
21980,76003,0028000927,"MAR 27, 1981",LAL @ SEA,W,36,10,19.0,,0.0,0.0,,3,3,1.0,5.0,5.0,10.0,4.0,,,5.0,4.0,23,,0
21980,76003,0028000901,"MAR 24, 1981",LAL vs. GOS,W,37,6,8.0,,0.0,0.0,,4,5,0.8,0.0,8.0,8.0,5.0,0.0,4.0,3.0,5.0,16,,0
21980,76003,0028000896,"MAR 22, 1981",LAL @ GOS,W,40,12,18.0,,0.0,0.0,,7,12,0.583,1.0,6.0,7.0,0.0,0.0,1.0,3.0,4.0,31,,0
21980,76003,0028000889,"MAR 21, 1981",LAL @ POR,W,41,13,18.0,,0.0,0.0,,5,7,0.714,2.0,17.0,19.0,3.0,0.0,4.0,4.0,4.0,31,,0
21980,76003,0028000879,"MAR 20, 1981",LAL vs. SEA,W,34,15,23.0,,0.0,0.0,,4,6,0.667,4.0,4.0,8.0,4.0,3.0,0.0,2.0,4.0,34,,0
21980,76003,0028000869,"MAR 18, 1981",LAL @ PHX,L,40,11,16.0,,0.0,0.0,,5,5,1.0,4.0,4.0,8.0,0.0,1.0,1.0,6.0,1.0,27,,0
21980,76003,0028000858,"MAR 17, 1981",LAL @ DAL,W,36,11,16.0,,0.0,0.0,,6,10,0.6,1.0,7.0,8.0,1.0,0.0,3.0,3.0,1.0,28,,0
21980,76003,0028000856,"MAR 15, 1981",LAL vs. SDC,L,39,9,18.0,,0.0,0.0,,8,8,1.0,3.0,6.0,9.0,2.0,0.0,0.0,1.0,2.0,26,,0
21980,76003,0028000840,"MAR 13, 1981",LAL vs. KCK,W,35,9,12.0,,0.0,0.0,,10,15,0.667,2.0,4.0,6.0,1.0,0.0,2.0,3.0,3.0,28,,0
21980,76003,0028000832,"MAR 12, 1981",LAL @ SDC,W,39,8,11.0,,0.0,0.0,,10,14,0.714,0.0,5.0,5.0,3.0,0.0,1.0,6.0,5.0,26,,0
21980,76003,0028000820,"MAR 10, 1981",LAL vs. SAN,W,37,16,23.0,,0.0,0.0,,3,5,0.6,4.0,5.0,9.0,2.0,0.0,5.0,3.0,3.0,35,,0
21980,76003,0028000786,"MAR 04, 1981",LAL @ DEN,L,35,10,17.0,,0.0,0.0,,6,7,0.857,1.0,7.0,8.0,3.0,1.0,4.0,2.0,4.0,26,,0
21980,76003,0028000784,"MAR 03, 1981",LAL @ KCK,W,41,9,14.0,,0.0,0.0,,6,7,0.857,2.0,4.0,6.0,1.0,0.0,2.0,2.0,2.0,24,,0
21980,76003,0028000778,"MAR 01, 1981",LAL vs. PHX,L,39,12,19.0,,0.0,0.0,,4,6,0.667,2.0,4.0,6.0,3.0,2.0,1.0,4.0,4.0,28,,0
21980,76003,0028000764,"FEB 27, 1981",LAL vs. NJN,W,40,11,20.0,,0.0,0.0,,6,8,0.75,3.0,8.0,11.0,6.0,1.0,4.0,2.0,5.0,28,,0
21980,76003,0028000753,"FEB 25, 1981",LAL @ MIL,L,36,12,18.0,,0.0,0.0,,5,5,1.0,4.0,9.0,13.0,2.0,0.0,5.0,4.0,3.0,29,,0
21980,76003,0028000748,"FEB 24, 1981",LAL @ CHI,W,37,10,23.0,,0.0,0.0,,3,3,1.0,1.0,10.0,11.0,4.0,0.0,2.0,2.0,4.0,23,,0
21980,76003,0028000739,"FEB 22, 1981",LAL @ NYK,W,40,12,17.0,,0.0,0.0,,8,9,0.889,0.0,6.0,6.0,5.0,0.0,5.0,1.0,2.0,32,,0
21980,76003,0028000723,"FEB 20, 1981",LAL vs. HOU,L,37,14,26.0,,0.0,0.0,,8,10,0.8,3.0,9.0,12.0,3.0,0.0,0.0,1.0,4.0,36,,0
21980,76003,0028000710,"FEB 17, 1981",LAL vs. NYK,W,40,10,18.0,,0.0,0.0,,8,11,0.727,0.0,10.0,10.0,4.0,1.0,4.0,3.0,5.0,28,,0
21980,76003,0028000701,"FEB 15, 1981",LAL vs. DAL,W,36,15,20.0,,0.0,0.0,,5,6,0.833,3.0,9.0,12.0,0.0,0.0,2.0,3.0,5.0,35,,0
21980,76003,0028000685,"FEB 13, 1981",LAL @ HOU,W,40,11,17.0,,0.0,0.0,,8,8,1.0,3.0,9.0,12.0,4.0,1.0,2.0,2.0,4.0,30,,0
21980,76003,0028000670,"FEB 11, 1981",LAL vs. BOS,L,42,12,23.0,,0.0,0.0,,8,12,0.667,1.0,8.0,9.0,3.0,2.0,3.0,2.0,2.0,32,,0
21980,76003,0028000655,"FEB 08, 1981",LAL @ PHL,L,42,7,15.0,,0.0,0.0,,5,6,0.833,4.0,8.0,12.0,5.0,1.0,3.0,3.0,1.0,19,,0
21980,76003,0028000643,"FEB 06, 1981",LAL @ DET,W,37,11,23.0,,0.0,0.0,,3,4,0.75,5.0,9.0,14.0,4.0,0.0,3.0,1.0,4.0,25,,0
21980,76003,0028000634,"FEB 04, 1981",LAL @ IND,W,40,10,16.0,,0.0,0.0,,9,15,0.6,5.0,11.0,16.0,3.0,2.0,1.0,3.0,4.0,29,,0
21980,76003,0028000613,"JAN 29, 1981",LAL vs. KCK,W,40,13,25.0,,0.0,0.0,,9,10,0.9,,,13.0,1.0,0.0,2.0,,1.0,35,,0
21980,76003,0028000598,"JAN 27, 1981",LAL vs. UTH,W,38,10,15.0,,0.0,0.0,,7,11,0.636,,,11.0,5.0,,4.0,,0.0,27,,0
21980,76003,0028000596,"JAN 26, 1981",LAL vs. POR,W,35,12,18.0,,0.0,0.0,,0,0,0.0,2.0,10.0,12.0,3.0,2.0,5.0,1.0,4.0,24,,0
21980,76003,0028000579,"JAN 23, 1981",LAL vs. DEN,W,38,12,21.0,,0.0,0.0,,2,3,0.667,3.0,12.0,15.0,2.0,1.0,8.0,5.0,1.0,26,,0
21980,76003,0028000566,"JAN 21, 1981",LAL vs. ATL,W,37,11,17.0,,0.0,0.0,,2,4,0.5,1.0,9.0,10.0,7.0,0.0,5.0,2.0,4.0,24,,0
21980,76003,0028000546,"JAN 18, 1981",LAL @ BOS,L,41,13,25.0,,0.0,0.0,,6,8,0.75,3.0,9.0,12.0,2.0,2.0,1.0,3.0,1.0,32,,0
21980,76003,0028000531,"JAN 16, 1981",LAL @ NJN,W,37,13,18.0,,0.0,0.0,,5,7,0.714,3.0,8.0,11.0,3.0,0.0,1.0,8.0,5.0,31,,0
21980,76003,0028000528,"JAN 14, 1981",LAL @ WAS,L,39,11,27.0,,0.0,0.0,,3,3,1.0,2.0,8.0,10.0,1.0,0.0,1.0,1.0,2.0,25,,0
21980,76003,0028000516,"JAN 13, 1981",LAL @ CLE,W,39,13,20.0,,0.0,0.0,,3,3,1.0,1.0,7.0,8.0,2.0,1.0,1.0,2.0,1.0,29,,0
21980,76003,0028000511,"JAN 11, 1981",LAL vs. DET,W,33,9,14.0,,0.0,0.0,,4,5,0.8,3.0,6.0,9.0,4.0,1.0,3.0,0.0,6.0,22,,0
21980,76003,0028000496,"JAN 09, 1981",LAL vs. SEA,W,38,9,20.0,,0.0,0.0,,10,14,0.714,3.0,13.0,16.0,5.0,1.0,2.0,4.0,4.0,28,,0
21980,76003,0028000480,"JAN 06, 1981",LAL vs. WAS,W,39,8,16.0,,0.0,0.0,,6,7,0.778,1.0,15.0,16.0,2.0,1.0,3.0,0.0,3.0,22,,0
21980,76003,0028000454,"JAN 02, 1981",LAL @ SAN,L,36,17,21.0,,0.0,0.0,,2,2,1.0,1.0,7.0,8.0,1.0,0.0,3.0,2.0,1.0,36,,0
21980,76003,0028000446,"DEC 30, 1980",LAL @ UTH,L,39,13,20.0,,0.0,0.0,,4,4,1.0,,,9.0,2.0,,0.0,,2.0,30,,0
